1,BTSI-ASH,1,AMOSUP Seamen's Hospital,"San Jose St., Intramuros",Metro Manila
2,BTSI-BMC,2,Batangas Medical Center,"Bihi Road, Kumintang Ibaba",Batangas City
3,BTSI-BLH,3,Binangonan Lakeview Hospital,Brgy. KM31 Manila East Road Tagpos,"Binangonan, Rizal"
4,BTSI-BDL,4,Blesces Diagnostic Laboratory,Laguna National Highway,"Alaminos, Laguna"
5,BTSI-CEC,5,Calamba Eye Center,"2nd flr, CMC Annex Building, Crossing","Calamba, Laguna"
6,BTSI-CMC,6,Calamba Medical Center,"CMC Avenue, Brgy. Real","Calamba, Laguna"
7,BTSI-CSGH,7,Christ the Savior General Hospital,Bayan ng Rosario,Batangas City
8,BTSI-GCMCC,8,Global Care Medical Center of Canlubang,"J. Yulo Avenue, Brgy. Canlubang","Calamba, Laguna"
9,BTSI-GMCL,9,Global Medical Center of Laguna,"National Highway, Brgy. Banlic","Cabuyao City, Laguna"
10,BTSI-ICHSP,10,Immaculate Conception Hospital of San Pablo,"P. Alcantara St., Brgy. VII - A","San Pablo City, Laguna"
11,BTSI-IDGH,11,Isabela Doctors General Hospital,Baligatan,"Ilagan, Isabela"
12,BTSI-LDMH,12,Laurel District Memorial Hospital,Talisay - Tanauan Road,"Tanauan, Batangas"
13,BTSI-MRDH,13,Metro Rizal Doctors Hospital,Santo Domingo,"Cainta, Rizal"
14,NPDC-Dialysis,14,Nephro Plus Dialysis Center,Marciano Brion St.,"San Pablo City, Laguna"
15,BTSI-OHHC,15,Ortigas Hospital & Healthcare Center,Ortigas Avenue Extension corner ,"Cainta, Rizal"
16,BTSI-RCTDC,16,Rotary Club of Tanauan Dialysis Center,Benita Laurel St.,"Tanauan, Batangas"
17,BTSI-SPCCHC,17,San Pablo City Community General Hospital,"C. Colago Ave, Brgy. San Roque","San Pablo City, Laguna"
18,BTSI-SPDGH,18,San Pablo Doctors General Hospital,55 A. Mabini Street,"San Pablo City, Laguna"
19,BTSI-SPCMC,19,SPC Medical Center,Pan-Philippine Highway,"San Pablo City, Laguna"
20,BTSI-SFCMH,20,ST. Frances Cabrini Medical Hospital,President Jose P. Laurel Highway,"Sto. Thomas, Batangas"
21,BTSI-SJBMCI,21,St. John the Baptist Medical Center INC.,Brgy. Parian,"Calamba, Laguna"
22,BTSI-TDMH,22,"Taytay Doctors Multispeciality Hospital, Inc.",Rizal Avenue,"Taytay, Rizal"
23,BTSI-TMCSL,23,The Medical City South Luzon,"L. United Blvd, Don Jose","Santa Rosa, Laguna"
24,Oceanagold,24,OceanaGold (Philippines) Inc.,"Didipio Mine, Didipio Kasibu,",Nueva Vizcaya
